task_dir,instruction,picked_object,related_objects,orientation_mode,relation,reference_frame,direction_attributes,parser_confidence,routing_hints,error
/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_USB_behind_the_bottle_on_the_table.__plug_right/20240824-224716_no_interaction,"Place the USB behind the bottle on the table. We also need to specify the rotation of the object after placement:  the silver plug end of the USB is oriented towards right, and the larger end is on the left.",USB,"[""bottle""]",plug_right,behind,scene-centric,"[""silver plug end"", ""larger end""]",0.95,"{""minimal_object_set"": [""USB"", ""bottle""], ""use_task_config"": true, ""fallback_required"": false}",
/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_USB_behind_the_cup_on_the_table.__plug_right/20240824-173615_no_interaction,"Place the USB behind the cup on the table. We also need to specify the rotation of the object after placement:  the silver plug end of the USB is oriented towards right, and the larger end is on the left.",USB,"[""cup""]",plug_right,behind,scene-centric,"[""silver plug end"", ""larger end""]",0.95,"{""minimal_object_set"": [""USB"", ""cup""], ""use_task_config"": true, ""fallback_required"": false}",
/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_USB_behind_the_lighter_on_the_table.__plug_right/20240824-164221_no_interaction,"Place the USB behind the lighter on the table. We also need to specify the rotation of the object after placement:  the silver plug end of the USB is oriented towards right, and the larger end is on the left.",USB,"[""lighter""]",plug_right,behind,scene-centric,"[""plug_right""]",0.95,"{""minimal_object_set"": [""USB"", ""lighter""], ""use_task_config"": true, ""fallback_required"": false}",
/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_USB_behind_the_lighter_on_the_table.__plug_right/20240824-170600_no_interaction,"Place the USB behind the lighter on the table. We also need to specify the rotation of the object after placement:  the silver plug end of the USB is oriented towards right, and the larger end is on the left.",USB,"[""lighter""]",plug_right,behind,scene-centric,"[""plug_right""]",0.95,"{""minimal_object_set"": [""USB"", ""lighter""], ""use_task_config"": true, ""fallback_required"": false}",
/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_USB_behind_the_pen_on_the_table.__plug_right/20240824-194954_no_interaction,"Place the USB behind the pen on the table. We also need to specify the rotation of the object after placement:  the silver plug end of the USB is oriented towards right, and the larger end is on the left.",USB,"[""pen""]",plug_right,behind,scene-centric,"[""plug_right""]",0.95,"{""minimal_object_set"": [""USB"", ""pen""], ""use_task_config"": true, ""fallback_required"": false}",
/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_USB_behind_the_shoe_on_the_table.__plug_right/20240824-225300_no_interaction,"Place the USB behind the shoe on the table. We also need to specify the rotation of the object after placement:  the silver plug end of the USB is oriented towards right, and the larger end is on the left.",USB,"[""shoe""]",plug_right,behind,scene-centric,"[""silver plug end"", ""larger end""]",0.95,"{""minimal_object_set"": [""USB"", ""shoe""], ""use_task_config"": true, ""fallback_required"": false}",
/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_apple_behind_the_bottle_on_the_table.__upright/20240824-165044_no_interaction,"Place the apple behind the bottle on the table. We also need to specify the rotation of the object after placement:  the object is placed upright on the table and corresponds with how humans usually place the object, bottom down and top up.",apple,"[""bottle""]",upright,behind,scene-centric,"[""upright""]",0.95,"{""minimal_object_set"": [""apple"", ""bottle""], ""use_task_config"": true, ""fallback_required"": false}",
/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_apple_behind_the_hammer_on_the_table.__upright/20240824-185940_no_interaction,"Place the apple behind the hammer on the table. We also need to specify the rotation of the object after placement:  the object is placed upright on the table and corresponds with how humans usually place the object, bottom down and top up.",apple,"[""hammer""]",upright,behind,scene-centric,"[""upright""]",0.95,"{""minimal_object_set"": [""apple"", ""hammer""], ""use_task_config"": true, ""fallback_required"": false}",
/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_apple_behind_the_mug_on_the_table.__upright/20240824-171807_no_interaction,"Place the apple behind the mug on the table. We also need to specify the rotation of the object after placement:  the object is placed upright on the table and corresponds with how humans usually place the object, bottom down and top up.",apple,"[""mug""]",upright,behind,mixed,"[""upright""]",0.95,"{""minimal_object_set"": [""apple"", ""mug""], ""use_task_config"": true, ""fallback_required"": false}",
/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_apple_behind_the_orange_on_the_table.__upright/20240824-194235_no_interaction,"Place the apple behind the orange on the table. We also need to specify the rotation of the object after placement:  the object is placed upright on the table and corresponds with how humans usually place the object, bottom down and top up.",apple,"[""orange""]",upright,behind,scene-centric,"[""upright""]",0.95,"{""minimal_object_set"": [""apple"", ""orange""], ""use_task_config"": true, ""fallback_required"": false}",
/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_apple_behind_the_pot_on_the_table.__upright/20240824-174612_no_interaction,"Place the apple behind the pot on the table. We also need to specify the rotation of the object after placement:  the object is placed upright on the table and corresponds with how humans usually place the object, bottom down and top up.",apple,"[""pot""]",upright,behind,mixed,"[""bottom_down"", ""top_up""]",0.95,"{""minimal_object_set"": [""apple"", ""pot""], ""use_task_config"": true, ""fallback_required"": false}",
/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_apple_behind_the_remote_control_on_the_table.__upright/20240824-215031_no_interaction,"Place the apple behind the remote control on the table. We also need to specify the rotation of the object after placement:  the object is placed upright on the table and corresponds with how humans usually place the object, bottom down and top up.",apple,"[""remote control""]",upright,behind,scene-centric,"[""bottom down"", ""top up""]",0.95,"{""minimal_object_set"": [""apple"", ""remote control""], ""use_task_config"": true, ""fallback_required"": false}",
/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_apple_behind_the_remote_control_on_the_table.__upright/20240824-231452_no_interaction,"Place the apple behind the remote control on the table. We also need to specify the rotation of the object after placement:  the object is placed upright on the table and corresponds with how humans usually place the object, bottom down and top up.",apple,"[""remote control""]",upright,behind,scene-centric,"[""bottom down"", ""top up""]",0.95,"{""minimal_object_set"": [""apple"", ""remote control""], ""use_task_config"": true, ""fallback_required"": false}",
/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_apple_behind_the_watch_on_the_table.__upright/20240824-171122_no_interaction,"Place the apple behind the watch on the table. We also need to specify the rotation of the object after placement:  the object is placed upright on the table and corresponds with how humans usually place the object, bottom down and top up.",apple,"[""watch""]",upright,behind,scene-centric,"[""upright""]",0.95,"{""minimal_object_set"": [""apple"", ""watch""], ""use_task_config"": true, ""fallback_required"": false}",
/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_binder_behind_the_can_on_the_table.__lying_flat/20240824-231004_no_interaction,"Place the binder behind the can on the table. We also need to specify the rotation of the object after placement:  the object is lying flat on the table, with its larger face in contact with the tabletop.",binder,"[""can""]",lying_flat,behind,scene-centric,"[""larger_face_in_contact_with_tabletop""]",0.95,"{""minimal_object_set"": [""binder"", ""can""], ""use_task_config"": true, ""fallback_required"": false}",
/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_binder_behind_the_mug_on_the_table.__lying_flat/20240824-173433_no_interaction,"Place the binder behind the mug on the table. We also need to specify the rotation of the object after placement:  the object is lying flat on the table, with its larger face in contact with the tabletop.",binder,"[""mug""]",lying_flat,behind,mixed,"[""larger_face_in_contact_with_tabletop""]",0.95,"{""minimal_object_set"": [""binder"", ""mug""], ""use_task_config"": true, ""fallback_required"": false}",
/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_binder_behind_the_mug_on_the_table.__lying_flat/20240824-203158_no_interaction,"Place the binder behind the mug on the table. We also need to specify the rotation of the object after placement:  the object is lying flat on the table, with its larger face in contact with the tabletop.",binder,"[""mug""]",lying_flat,behind,scene-centric,"[""larger_face_in_contact_with_tabletop""]",0.95,"{""minimal_object_set"": [""binder"", ""mug""], ""use_task_config"": true, ""fallback_required"": false}",
/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_binder_behind_the_toy_on_the_table.__lying_flat/20240824-164249_no_interaction,"Place the binder behind the toy on the table. We also need to specify the rotation of the object after placement:  the object is lying flat on the table, with its larger face in contact with the tabletop.",binder,"[""toy""]",lying_flat,behind,scene-centric,"[""larger_face_in_contact_with_tabletop""]",0.95,"{""minimal_object_set"": [""binder"", ""toy""], ""use_task_config"": true, ""fallback_required"": false}",
/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_binder_behind_the_watch_on_the_table.__lying_flat/20240824-174500_no_interaction,"Place the binder behind the watch on the table. We also need to specify the rotation of the object after placement:  the object is lying flat on the table, with its larger face in contact with the tabletop.",binder,"[""watch""]",lying_flat,behind,mixed,"[""larger_face_in_contact_with_tabletop""]",0.95,"{""minimal_object_set"": [""binder"", ""watch""], ""use_task_config"": true, ""fallback_required"": false}",
/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_binder_clips_behind_the_can_on_the_table.__clip_sideways/20240824-175428_no_interaction,"Place the binder clips behind the can on the table. We also need to specify the rotation of the object after placement:  the binder clip is lying sideways on the table, which means that one side face of the black triangular prism is facing the table.",binder clips,"[""can""]",clip_sideways,behind,scene-centric,"[""sideways""]",0.95,"{""minimal_object_set"": [""binder clips"", ""can""], ""use_task_config"": true, ""fallback_required"": false}",
/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_binder_clips_behind_the_mobile_phone_on_the_table.__clip_sideways/20240824-181521_no_interaction,"Place the binder clips behind the mobile phone on the table. We also need to specify the rotation of the object after placement:  the binder clip is lying sideways on the table, which means that one side face of the black triangular prism is facing the table.",binder clips,"[""mobile phone""]",clip_sideways,behind,scene-centric,"[""sideways""]",0.95,"{""minimal_object_set"": [""binder clips"", ""mobile phone""], ""use_task_config"": true, ""fallback_required"": false}",
